aircraft,state,date,length,speed,heading,altitude
VH-ZMP,NONE,02/10/2020 14:17:42,7.1,161.0,185.2,10184.0
VH-ZMP,AAA,02/10/2020 14:25:43,7.4,183.0,9.8,10151.0
VH-LJA,NSW,06/07/21 23:47:29,3.9,283.5,6.6,7946.0
VH-LJA,NSW,07/07/21 00:12:36,7.6,195.2,1.2,4967.0
VH-LJA,NSW,07/07/21 00:19:32,8.2,202.5,178.5,4980.0
VH-LJA,NSW,07/07/21 00:27:55,8.1,188.2,0.4,4970.0
VH-LJA,NSW,07/07/21 00:36:07,7.3,194.5,178.7,4977.0
VH-LJA,NSW,07/07/21 00:44:35,7.3,190.8,0.7,4967.0
VH-LJA,NSW,07/07/21 01:05:02,15.6,282.9,187.2,9006.0
VH-LJA,NSW,07/07/21 01:12:55,4.3,283.7,173.2,9003.0
VH-ZMP,NSW,08/10/2020 13:50:34,2.3,235.5,204.7,11158.0
VH-ZMP,NSW,08/10/2020 13:57:56,16.0,250.1,198.7,10177.0
VH-ZMP,NSW,08/10/2020 14:24:38,17.8,149.4,14.4,10075.0
VH-LJJ,NSW,11/11/2020 13:19:10,25.9,410.9,74.2,25961.0
VH-LJJ,NSW,11/11/2020 13:31:27,11.9,311.8,55.3,25879.0
VH-LJJ,NSW,11/11/2020 13:38:54,30.0,305.8,325.5,25925.0
VH-LAB,NSW,14/10/2020 16:00:15,24.2,197.2,243.6,16588.0
VH-LAB,NSW,14/10/2020 16:16:14,24.0,234.6,64.1,16617.0
VH-LAB,WA,17/01/2021 03:44:37,15.3,186.9,178.0,8360.0
VH-LAB,WA,17/01/2021 03:56:50,16.2,181.9,268.7,8346.0
VH-LJA,NSW,25/03/21 22:40:36,4.6,253.5,358.2,12546.0
VH-LJA,NSW,25/03/21 22:50:31,22.0,360.5,10.4,20397.0
VH-LJA,NSW,25/03/21 23:12:06,12.8,369.7,344.3,20564.0
VH-LJA,NSW,25/03/21 23:26:22,7.2,383.9,25.5,21801.0
VH-LJA,NSW,25/03/21 23:45:11,23.5,228.7,301.1,10354.0
VH-LJA,NSW,25/03/21 23:54:49,27.9,272.2,121.7,10322.0
VH-LJA,NSW,27/12/21 06:44:43,12.4,392.2,304.7,31037.0
VH-LJA,NSW,27/12/21 07:22:56,20.0,304.0,211.9,22795.0
VH-LJA,NSW,27/12/21 07:35:51,20.4,330.1,32.1,22815.0
VH-LJA,NSW,27/12/21 07:47:41,21.9,308.5,212.2,22799.0
VH-LJA,NSW,27/12/21 08:21:15,17.9,301.2,203.0,22805.0
VH-LJA,NSW,27/12/21 08:31:06,17.6,320.2,22.5,22818.0
VH-LJA,NSW,27/12/21 08:39:58,17.5,297.7,202.8,22822.0
VH-LJA,NSW,27/12/21 09:21:19,9.5,401.6,99.5,27953.0
VH-LAB,WA,30/10/2020 17:24:57,1.7,215.3,188.1,12480.0
VH-LAB,WA,30/10/2020 17:39:25,7.0,233.5,62.7,12477.0
VH-LAB,WA,30/10/2020 17:47:13,7.1,223.8,40.0,12487.0
VH-ZMP,VIC,30/11/2020 10:42:59,0.0,0.1,333.4,308.0
VH-ZMP,VIC,30/11/2020 11:20:17,24.1,240.2,90.5,20696.0
VH-ZMP,VIC,30/11/2020 11:31:06,23.8,164.1,273.9,20692.0
VH-LJA,VIC,01/01/22 06:39:42,6.4,445.8,247.2,33212.0
VH-LJA,VIC,01/01/22 06:52:03,7.7,411.0,255.4,33196.0
VH-LJA,VIC,01/01/22 07:45:07,15.6,261.2,265.1,15548.0
VH-LJA,VIC,01/01/22 08:04:41,16.7,283.9,85.5,12743.0
VH-LJA,VIC,01/01/22 08:14:03,19.2,258.4,264.5,12746.0
VH-LJA,VIC,01/01/22 08:23:39,20.1,288.4,83.9,12822.0
VH-LJA,VIC,01/01/22 11:53:04,8.5,432.6,253.4,31240.0
VH-LJA,VIC,01/01/22 12:33:41,25.6,259.3,266.8,12454.0
VH-LJA,VIC,01/01/22 12:45:15,24.5,282.8,84.5,12441.0
VH-LJA,VIC,01/01/22 12:55:59,23.0,261.4,264.6,12470.0
VH-LJA,VIC,01/01/22 13:17:44,15.6,295.5,109.9,12497.0
VH-LJA,VIC,01/01/22 13:30:25,21.4,259.3,265.3,12448.0
VH-LJQ,NSW,02/01/2022 11:14:13,12.6,247.4,195.2,10420.0
VH-LJQ,NSW,02/01/2022 11:21:52,13.1,262.0,11.7,10417.0
VH-LJQ,VIC,02/01/2022 11:53:51,8.1,359.0,276.2,31325.0
VH-LJQ,VIC,02/01/2022 12:41:40,17.3,269.0,269.3,16719.0
VH-LJQ,VIC,02/01/2022 13:20:34,24.8,253.9,270.0,12487.0
VH-LJQ,VIC,02/01/2022 13:32:54,28.2,279.6,90.1,12448.0
VH-LJQ,VIC,02/01/2022 19:53:44,16.0,271.8,358.5,12530.0
VH-LJQ,VIC,02/01/2022 20:03:02,14.6,280.1,103.0,12536.0
VH-ZMP,VIC,12/01/2022 05:23:44,5.6,232.1,293.4,16673.0
VH-ZMP,VIC,12/01/2022 05:53:01,9.4,212.4,311.2,11621.0
VH-ZMP,VIC,12/01/2022 06:02:31,10.0,219.8,131.5,11631.0
VH-LJA,NSW,24/12/21 18:02:14,6.2,345.9,276.9,25722.0
VH-LJA,NSW,24/12/21 18:29:31,21.2,421.7,274.0,32392.0
VH-LJA,NSW,24/12/21 18:57:22,27.6,326.5,359.4,22992.0
VH-LJA,NSW,24/12/21 19:10:46,27.4,308.5,179.3,22979.0
VH-LJA,NSW,24/12/21 19:23:51,28.5,326.7,359.8,22989.0
VH-LJA,NSW,24/12/21 19:55:14,12.4,333.4,113.2,28140.0
VH-LJA,NSW,24/12/21 20:10:56,13.6,333.0,106.9,28117.0
VH-LJA,NSW,26/12/21 16:52:52,4.1,332.6,301.8,20804.0
VH-LJA,NSW,26/12/21 17:05:50,16.3,272.3,211.1,15669.0
VH-LJA,NSW,26/12/21 17:13:25,15.9,294.0,31.9,15686.0
VH-LJA,NSW,26/12/21 17:21:55,14.4,266.5,210.8,15591.0
VH-LJA,NSW,26/12/21 17:55:51,17.2,266.1,203.1,15614.0
VH-LJA,NSW,26/12/21 18:04:11,19.5,296.9,23.2,15604.0
VH-LJA,NSW,26/12/21 18:12:52,15.5,272.2,203.1,15692.0
VH-LJA,NSW,28/12/21 07:10:54,18.0,287.2,37.1,16604.0
VH-LJA,NSW,28/12/21 07:19:11,19.6,282.4,217.2,16604.0
VH-LJA,NSW,28/12/21 07:29:14,20.6,283.1,37.9,16581.0
VH-LJA,NSW,29/12/21 07:00:30,19.3,288.8,37.8,16601.0
VH-LJA,NSW,29/12/21 07:09:53,20.0,286.7,218.3,16601.0
VH-LJA,NSW,29/12/21 07:19:18,20.2,283.9,37.8,16588.0
VH-LJA,NSW,29/12/21 07:53:13,19.1,287.5,5.0,16529.0
VH-LJA,NSW,29/12/21 08:01:31,20.2,281.0,184.9,16526.0
VH-LJA,NSW,29/12/21 08:10:04,23.2,286.2,4.7,16529.0
VH-LJQ,VIC,01/01/2022 00:03:07,4.3,321.7,250.8,20696.0
VH-LJQ,VIC,01/01/2022 00:44:13,10.1,387.7,75.7,32260.0
VH-LJA,NSW,02/02/21 16:45:55,1.7,263.3,259.3,12044.0
VH-LJA,NSW,02/02/21 16:50:31,13.4,265.7,223.7,15371.0
VH-LJA,NSW,02/02/21 17:02:48,13.0,337.3,12.2,15338.0
VH-LJA,NSW,02/02/21 17:18:27,12.7,254.0,190.8,15341.0
VH-LJA,NSW,02/02/21 17:24:29,17.8,334.5,19.2,15364.0
VH-LAB,WA,2/02/2021 03:07:36,2.5,204.7,62.0,10548.0
VH-LAB,WA,2/02/2021 03:19:18,19.7,220.3,290.8,12598.0
VH-LAB,WA,2/02/2021 03:29:41,19.4,214.5,111.1,12602.0
VH-LAB,WA,2/02/2021 03:44:16,20.0,223.5,290.7,12605.0
VH-LAB,WA,1/02/2021 21:39:38,20.9,198.1,291.0,10561.0
VH-LAB,WA,1/02/2021 21:49:22,20.1,184.2,111.3,10561.0
VH-LAB,WA,1/02/2021 22:01:15,17.1,198.3,290.8,10558.0
VH-LAB,WA,1/02/2021 22:14:07,21.2,186.7,111.2,10548.0
VH-LAB,WA,2/02/2021 11:27:08,22.1,193.3,99.8,8425.0
VH-LAB,WA,2/02/2021 11:38:46,21.9,195.5,279.8,8422.0
VH-LAB,WA,2/02/2021 11:52:05,21.9,190.1,99.8,8425.0
VH-LAB,WA,2/02/2021 12:07:46,21.5,197.5,278.9,8422.0
VH-LAB,WA,2/02/2021 12:19:20,21.8,192.0,98.7,8412.0
VH-LAB,WA,2/02/2021 12:31:37,21.9,197.9,278.5,8412.0
VH-LAB,WA,2/02/2021 16:45:27,21.9,184.7,278.5,8425.0
VH-LAB,WA,2/02/2021 16:57:37,22.6,159.2,98.8,8415.0
VH-LAB,WA,2/02/2021 17:09:55,22.0,184.7,278.2,8412.0
VH-LAB,WA,2/02/2021 17:22:16,22.6,164.3,98.7,8412.0
VH-LAB,WA,2/02/2021 22:30:20,26.0,185.0,278.6,8366.0
VH-LAB,WA,2/02/2021 22:43:51,24.1,156.3,98.8,8376.0
VH-LAB,WA,2/02/2021 22:59:34,25.8,188.0,278.7,8353.0
VH-LAB,WA,3/02/2021 03:21:46,26.3,156.2,99.0,8366.0
VH-LAB,WA,3/02/2021 03:36:29,25.8,179.6,279.0,8363.0
VH-LAB,WA,3/02/2021 03:49:54,25.0,154.9,99.8,8360.0
VH-LAB,WA,4/02/2021 03:40:51,23.4,198.3,278.9,10246.0
VH-LAB,WA,4/02/2021 03:52:02,23.9,198.9,99.0,10335.0
VH-LAB,WA,4/02/2021 04:04:19,21.1,202.1,278.8,10240.0
VH-LAB,WA,4/02/2021 07:03:16,20.9,198.8,278.6,10082.0
VH-LAB,WA,4/02/2021 07:14:43,13.3,171.2,98.3,10023.0
VH-LAB,WA,4/02/2021 07:24:34,7.4,175.5,98.7,10180.0
VH-LAB,WA,4/02/2021 07:31:59,20.8,207.4,279.4,10187.0
VH-LAB,WA,3/02/2021 22:25:39,23.1,172.0,279.6,8264.0
VH-LAB,WA,3/02/2021 22:38:42,24.1,175.2,97.9,8264.0
VH-LAB,WA,3/02/2021 22:53:03,23.8,175.3,278.9,8258.0
VH-LAB,WA,3/02/2021 23:06:21,24.2,171.6,99.1,8258.0
VH-LAB,WA,3/02/2021 11:46:06,24.1,174.4,278.4,8366.0
VH-LAB,WA,3/02/2021 11:58:57,24.3,175.6,98.6,8366.0
VH-LAB,WA,3/02/2021 12:12:07,24.0,175.4,279.2,8383.0
VH-LAB,WA,3/02/2021 12:33:35,24.5,169.4,99.0,8369.0
VH-LAB,WA,3/02/2021 12:49:27,24.0,173.4,278.3,8369.0
VH-LAB,WA,4/02/2021 10:10:40,3.9,226.8,76.5,10246.0
VH-LAB,WA,4/02/2021 10:23:11,21.1,205.2,278.7,10256.0
VH-LAB,WA,4/02/2021 10:34:18,20.8,177.3,98.6,10259.0
VH-LAB,WA,4/02/2021 10:56:53,20.8,179.6,98.7,10259.0
VH-LAB,WA,16/08/0020 23:59:52,3.3,213.2,3.3,2297.0
VH-LAB,WA,4/02/2021 13:31:53,21.0,212.1,278.8,2438.0
VH-LAB,WA,4/02/2021 13:42:14,21.1,177.2,98.7,4793.0
VH-LAB,WA,4/02/2021 13:58:04,22.5,210.3,278.8,10315.0
VH-LAB,WA,4/02/2021 14:08:19,20.7,173.8,98.1,10325.0
VH-LAB,WA,4/02/2021 14:19:39,20.8,212.0,278.7,10315.0
VH-LAB,WA,4/02/2021 22:26:03,21.2,183.4,279.0,10325.0
VH-LAB,WA,4/02/2021 22:37:57,20.9,174.3,98.7,10328.0
VH-LAB,WA,4/02/2021 22:49:38,16.4,178.9,278.5,10322.0
VH-LAB,WA,4/02/2021 23:03:02,20.8,168.9,98.7,10328.0
VH-LAB,WA,4/02/2021 23:14:29,20.9,171.3,278.7,10305.0
VH-LAB,WA,3/02/2021 16:54:36,23.2,178.8,278.9,7369.0
VH-LAB,WA,3/02/2021 17:06:37,23.2,162.3,99.2,7375.0
VH-LAB,WA,3/02/2021 17:19:47,23.0,177.8,278.7,7365.0
VH-LAB,WA,3/02/2021 17:47:22,23.1,163.7,279.0,7375.0
VH-LAB,WA,3/02/2021 18:00:47,22.5,170.5,98.7,7369.0
VH-LAB,WA,3/02/2021 18:13:58,23.1,175.8,278.9,7365.0
VH-SLF,NSW,04/12/2020 13:48:19,8.8,290.9,249.9,16604.0
VH-SLF,NSW,04/12/2020 14:05:41,9.7,257.4,152.8,16542.0
VH-SLF,NSW,04/12/2020 14:13:52,12.4,237.5,332.5,16572.0
VH-SLF,NSW,04/12/2020 14:28:40,12.8,220.7,197.4,16604.0
VH-LJJ,QLD,05/12/2020 00:21:57,41.1,293.3,23.3,21194.0
VH-LJJ,QLD,04/12/2020 19:35:39,7.9,372.6,19.8,31352.0
VH-LJJ,QLD,04/12/2020 21:00:37,55.5,304.2,22.8,21266.0
VH-LJJ,QLD,04/12/2020 21:20:56,57.2,274.9,203.0,21250.0
VH-LAB,WA,4/02/2021 16:29:35,4.0,197.1,3.5,10259.0
VH-LAB,WA,4/02/2021 16:36:16,20.9,169.6,99.7,10351.0
VH-LAB,WA,4/02/2021 16:47:26,20.8,213.6,278.6,10348.0
VH-LAB,WA,4/02/2021 17:06:02,20.8,171.8,98.7,10364.0
VH-LAB,WA,4/02/2021 17:20:06,11.5,217.0,279.3,10354.0
VH-LAB,WA,4/02/2021 17:39:50,2.5,170.2,120.7,10371.0
VH-LAB,WA,4/02/2021 18:15:48,20.7,162.9,98.2,10361.0
VH-LAB,WA,4/02/2021 18:27:55,20.7,209.5,278.5,10351.0
VH-LAB,WA,4/02/2021 18:38:35,21.1,167.2,99.2,10364.0
VH-LAB,WA,5/01/2021 13:13:54,3.1,164.4,2.7,11243.0
VH-LAB,WA,5/01/2021 13:30:08,30.5,253.4,290.6,15709.0
VH-LAB,WA,5/01/2021 13:43:00,29.0,194.8,110.8,15719.0
VH-LAB,WA,5/01/2021 14:12:40,8.3,217.5,283.0,11555.0
VH-LAB,WA,5/01/2021 14:32:53,7.2,216.0,293.2,11562.0
VH-LAB,WA,5/01/2021 14:39:49,7.3,220.2,277.4,11545.0
VH-LAB,WA,5/01/2021 14:53:17,3.2,147.2,95.1,5249.0
VH-LJA,NONE,05/01/21 12:38:28,3.7,351.1,235.2,15459.0
VH-LJA,NONE,05/01/21 12:39:37,7.5,312.7,237.4,15463.0
VH-LJA,NONE,05/01/21 12:41:03,10.7,273.7,236.9,15387.0
VH-LJA,NONE,05/01/21 12:43:23,2.4,274.3,237.1,15371.0
VH-LJA,NONE,05/01/21 12:45:45,18.6,276.5,236.6,15381.0
VH-LJA,NONE,05/01/21 12:55:08,16.5,267.5,0.0,15397.0
VH-LJA,NONE,05/01/21 13:03:12,20.9,369.1,80.8,15443.0
VH-LJA,NONE,05/01/21 12:34:40,4.0,282.3,264.6,15125.0
VH-LJA,NONE,05/01/21 12:35:41,8.3,322.1,264.6,15472.0
VH-LJA,NONE,05/01/21 12:37:16,1.0,316.9,264.8,15463.0
VH-LAB,WA,5/02/2021 10:39:09,1.6,176.0,337.1,9022.0
VH-LAB,WA,5/02/2021 10:49:33,21.7,178.7,98.7,10282.0
VH-LAB,WA,5/02/2021 11:24:22,19.2,178.4,98.5,10269.0
VH-LAB,WA,5/02/2021 11:35:35,18.3,209.5,278.5,10262.0
VH-LAB,WA,5/02/2021 11:46:06,8.6,173.5,98.7,10279.0
VH-LAB,WA,5/02/2021 13:07:03,2.1,192.1,6.2,8110.0
VH-LAB,WA,16/08/0020 23:59:48,22.7,181.2,98.9,10256.0
VH-LAB,WA,5/02/2021 13:33:16,20.3,203.3,278.7,10276.0
VH-LAB,WA,5/02/2021 13:42:35,11.5,174.0,98.6,10269.0
VH-LAB,WA,5/02/2021 13:54:18,8.0,193.0,278.3,10269.0
VH-LAB,WA,5/02/2021 22:18:08,20.9,195.0,278.8,10312.0
VH-LAB,WA,5/02/2021 22:29:42,20.9,198.0,99.0,10318.0
VH-LAB,WA,5/02/2021 22:40:26,20.9,199.0,279.0,10308.0
VH-LAB,WA,6/01/2021 03:27:18,6.8,217.7,1.5,15807.0
VH-LAB,WA,6/01/2021 03:40:04,31.3,221.0,291.4,15771.0
VH-LAB,WA,6/01/2021 03:54:03,30.8,192.3,111.1,15778.0
VH-LAB,WA,6/01/2021 04:19:30,10.7,180.6,178.5,8297.0
VH-LAB,WA,6/02/2021 02:45:20,20.9,187.2,279.2,10282.0
VH-LAB,WA,6/02/2021 02:55:16,20.9,183.5,98.9,10299.0
VH-LAB,WA,6/02/2021 03:05:13,20.9,181.8,278.7,10295.0
VH-LAB,WA,5/02/2021 16:38:27,2.7,194.3,30.4,10315.0
VH-LAB,WA,5/02/2021 16:42:55,20.8,188.4,98.6,10315.0
VH-LAB,WA,5/02/2021 16:52:44,20.8,196.1,279.0,10322.0
VH-LAB,WA,5/02/2021 17:02:13,20.9,184.2,98.1,10318.0
VH-LAB,WA,5/02/2021 17:13:27,14.7,194.4,278.7,10322.0
VH-LAB,WA,5/02/2021 17:56:59,20.5,189.4,98.8,10318.0
VH-LAB,WA,5/02/2021 18:06:45,20.2,195.4,278.5,10315.0
VH-LAB,WA,5/02/2021 18:15:54,21.4,191.3,98.7,10325.0
VH-LAB,WA,5/02/2021 02:57:30,23.0,176.3,279.4,10249.0
VH-LAB,WA,5/02/2021 03:10:45,22.7,167.5,98.4,10243.0
VH-LAB,WA,5/02/2021 03:22:44,21.1,174.9,278.8,10236.0
VH-LAB,WA,5/02/2021 03:36:51,11.7,170.9,99.0,10266.0
VH-LAB,WA,5/02/2021 03:51:08,22.9,170.5,279.6,10279.0
VH-LAB,WA,5/02/2021 04:04:52,20.7,164.3,99.6,10279.0
VH-LAB,WA,5/02/2021 04:17:59,20.8,169.4,278.7,10272.0
VH-LAB,WA,5/02/2021 04:31:51,8.8,168.8,98.8,10262.0
VH-LAB,WA,5/02/2021 04:45:45,22.8,171.4,278.4,10259.0
VH-LAB,WA,5/02/2021 05:00:30,20.9,167.5,98.8,10230.0
VH-LAB,WA,5/02/2021 05:13:20,20.8,170.4,279.0,10249.0
VH-LAB,WA,5/02/2021 05:27:01,8.1,169.7,98.9,10253.0
VH-LAB,WA,5/02/2021 05:42:46,7.8,150.7,179.7,6066.0
VH-LAB,WA,6/02/2021 06:15:03,20.8,191.3,98.8,10295.0
VH-LAB,WA,6/02/2021 06:24:42,20.9,194.9,278.7,10305.0
VH-LAB,WA,6/02/2021 06:34:07,20.9,193.2,98.8,10299.0
VH-LJJ,NSW,06/11/2020 10:25:18,3.0,318.6,249.5,15407.0
VH-LJJ,NSW,06/11/2020 10:31:23,14.6,244.2,262.4,15394.0
VH-LJJ,NSW,06/11/2020 10:42:02,13.8,277.8,89.9,15410.0
VH-LJJ,NSW,06/11/2020 10:56:42,4.6,272.5,39.0,15367.0
VH-LAB,WA,7/11/2020 04:43:40,10.4,205.7,272.1,8104.0
VH-LAB,WA,7/11/2020 04:53:57,10.1,211.0,92.1,10164.0
